species_folder,scientific_name,common_name
periophthalmus_argentilineatus,Periophthalmus argentilineatus,Barred Mudskipper
periophthalmus_chrysospilos,Periophthalmus chrysospilos,Gold-spotted Mudskipper
periophthalmus_variabilis,Periophthalmus variabilis,Dusky-gilled Mudskipper
periophthalmus_walailakae,Periophthalmus walailakae,Yellow-spotted Mudskipper
petroscirtes_mitratus,Petroscirtes mitratus,Crested Sabretooth Blenny
pisodonophis_boro,Pisodonophis boro,Rice-paddy Eel
plagiotremus_rhinorhynchos,Plagiotremus rhinorhynchos,Bluestriped Fangblenny
plagiotremus_tapeinosoma,Plagiotremus tapeinosoma,Piano Fangblenny
platax,Platax,Spadefishes
platax_orbicularis,Platax orbicularis,Round Batfish
platax_pinnatus,Platax pinnatus,Dusky Batfish
platax_teira,Platax teira,Longfin Batfish
platycaranx_chrysophrys,Platycaranx chrysophrys,Longnose Trevally
platycephalus_indicus,Platycephalus indicus,Bartail Flathead
plectorhinchus_chaetodonoides,Plectorhinchus chaetodonoides,Harlequin Sweetlips
plectorhinchus_gibbosus,Plectorhinchus gibbosus,Blubberlip
plectorhinchus_vittatus,Plectorhinchus vittatus,Oriental Sweetlips
plectroglyphidodon_dickii,Plectroglyphidodon dickii,Blackbar Damselfish
plectropomus_areolatus,Plectropomus areolatus,Squaretail Coralgrouper
plectropomus_laevis,Plectropomus laevis,Blacksaddle Coralgrouper
plotosus_canius,Plotosus canius,Eel Catfish
plotosus_lineatus,Plotosus lineatus,Striped Eel Catfish
pomacanthus_annularis,Pomacanthus annularis,Bluering Angelfish
pomacanthus_imperator,Pomacanthus imperator,Emperor Angelfish
pomacanthus_maculosus,Pomacanthus maculosus,Halfmoon Angelfish
pomacanthus_semicirculatus,Pomacanthus semicirculatus,Semicircle Angelfish
pomacentrus_pavo,Pomacentrus pavo,Peacock Damsel
pomacentrus_tripunctatus,Pomacentrus tripunctatus,Threespot Damsel
pomadasys_kaakan,Pomadasys kaakan,Barred Javelin
priacanthus_hamrur,Priacanthus hamrur,Crescent-tail Bigeye
psammogobius_biocellatus,Psammogobius biocellatus,Sleepy Goby
psettodes_erumei,Psettodes erumei,Indian Halibut
pseudanthias_squamipinnis,Pseudanthias squamipinnis,Lyretail Anthias
pseudapocryptes_elongatus,Pseudapocryptes elongatus,Elongate Mudskipper
pseudobalistes_flavimarginatus,Pseudobalistes flavimarginatus,Yellowmargin Triggerfish
pseudobalistes_fuscus,Pseudobalistes fuscus,Blue Triggerfish
pseudogobius,Pseudogobius,Snubnose Gobies
pseudosphromenus_cupanus,Pseudosphromenus cupanus,Spiketail Gourami
ptereleotris_evides,Ptereleotris evides,Twotone Dartfish
ptereleotris_heteroptera,Ptereleotris heteroptera,Spottail Dartfish
ptereleotris_microlepis,Ptereleotris microlepis,Pearly Dartfish
pterocaesio_chrysozona,Pterocaesio chrysozona,Yellowband Fusilier
pterocaesio_tile,Pterocaesio tile,Neon Fusilier
pterois_miles,Pterois miles,Indian Lionfish
pterois_russelii,Pterois russelii,Plaintail Lionfish
pteropterus_antennatus,Pteropterus antennatus,Spotfin Lionfish
pteropterus_mombasae,Pteropterus mombasae,African Lionfish
pteropterus_radiatus,Pteropterus radiatus,Clearfin Lionfish
pterygoplichthys,Pterygoplichthys,Sailfin Catfishes
pycnochromis_fieldi,Pycnochromis fieldi,Indian Half-and-half Chromis
pygoplites_diacanthus,Pygoplites diacanthus,Regal Angelfish
rachycentron_canadum,Rachycentron canadum,Cobia
rastrelliger_kanagurta,Rastrelliger kanagurta,Longjaw Mackerel
remora_remora,Remora remora,Common Remora
rhabdosargus_sarba,Rhabdosargus sarba,Tarwhine
rhinecanthus_aculeatus,Rhinecanthus aculeatus,Lagoon Triggerfish
rhinecanthus_rectangulus,Rhinecanthus rectangulus,Wedgetail Triggerfish
salarias_fasciatus,Salarias fasciatus,Jewelled Blenny
salariinae,Salariinae,Unknown
sargocentron_caudimaculatum,Sargocentron caudimaculatum,Tailspot Squirrelfish
sargocentron_rubrum,Sargocentron rubrum,Red Squirrelfish
saurida_undosquamis,Saurida undosquamis,Large-scaled Grinner
scartelaos_histophorus,Scartelaos histophorus,Bearded Mudskipper
scarus_frenatus,Scarus frenatus,Sixband Parrotfish
scarus_ghobban,Scarus ghobban,Blue-barred Parrotfish
scarus_niger,Scarus niger,Swarthy Parrotfish
scarus_prasiognathos,Scarus prasiognathos,Greencheek Parrotfish
scarus_psittacus,Scarus psittacus,Palenose Parrotfish
scarus_rubroviolaceus,Scarus rubroviolaceus,Redlip Parrotfish
scarus_scaber,Scarus scaber,Five-saddle Parrotfish
scarus_tricolor,Scarus tricolor,Tricolour Parrotfish
scatophagus_argus,Scatophagus argus,Spotted Scat
scolopsis_bilineata,Scolopsis bilineata,Bridled Monocle Bream
scolopsis_vosmeri,Scolopsis vosmeri,Whitecheek Monocle Bream
scomberoides_commersonnianus,Scomberoides commersonnianus,Giant Queenfish
scomberoides_lysan,Scomberoides lysan,Lesser Queenfish
scomberoides_tol,Scomberoides tol,Needleskin Queenfish
scomberomorus_commerson,Scomberomorus commerson,Narrow-banded Spanish Mackerel
scorpaenopsis_diabolus,Scorpaenopsis diabolus,Devil Scorpionfish
scyris_indica,Scyris indica,Diamond Trevally
sebastapistes_cyanostigma,Sebastapistes cyanostigma,Yellowspotted Scorpionfish
selar_crumenophthalmus,Selar crumenophthalmus,Bigeye Scad
